w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912162140:2249.1114501953125, 201912162145:2252.8367614746094, 201912162150:2256.5621032714844, 201912162155:2260.2874450683594, 201912162200:2292.327392578125, 201912162205:2296.052734375, 201912162210:2299.778076171875, 201912162215:2303.503387451172, 201912162220:2307.228729248047, 201912162225:2310.954071044922, 201912162230:2314.679412841797, 201912162235:2318.4047241210938, 
201912162145:2253.5140075683594, 201912162150:2258.388458251953, 201912162155:2263.262908935547, 201912162200:2282.2896118164062, 201912162205:2287.1640625, 201912162210:2292.0385131835938, 201912162215:2296.9129638671875, 201912162220:2301.787384033203, 201912162225:2306.661834716797, 201912162230:2311.5362854003906, 201912162235:2316.4107360839844, 201912162240:2321.285186767578, 
201912162150:2252.253692626953, 201912162155:2256.4662170410156, 201912162200:2283.2389221191406, 201912162205:2287.4514770507812, 201912162210:2291.6640014648438, 201912162215:2295.8765563964844, 201912162220:2300.089080810547, 201912162225:2304.3016357421875, 201912162230:2308.514190673828, 201912162235:2312.7267150878906, 201912162240:2316.9392700195312, 201912162245:2321.1517944335938, 
201912162155:2246.6646881103516, 201912162200:2291.1451873779297, 201912162205:2293.6472778320312, 201912162210:2296.149368286133, 201912162215:2298.6514587402344, 201912162220:2301.153549194336, 201912162225:2303.6556396484375, 201912162230:2306.157745361328, 201912162235:2308.6598358154297, 201912162240:2311.1619262695312, 201912162245:2313.664016723633, 201912162250:2316.1661071777344, 
201912162200:2297.9322967529297, 201912162205:2301.253662109375, 201912162210:2304.5750274658203, 201912162215:2307.8963928222656, 201912162220:2311.217758178711, 201912162225:2314.5391235351562, 201912162230:2317.8604888916016, 201912162235:2321.181869506836, 201912162240:2324.5032348632812, 201912162245:2327.8246002197266, 201912162250:2331.145965576172, 201912162255:2334.467330932617, 
201912162205:2297.4385986328125, 201912162210:2301.552032470703, 201912162215:2305.6654357910156, 201912162220:2309.7788696289062, 201912162225:2313.8922729492188, 201912162230:2318.0057067871094, 201912162235:2322.119140625, 201912162240:2326.2325439453125, 201912162245:2330.345977783203, 201912162250:2334.4594116210938, 201912162255:2338.5728149414062, 201912162300:2366.561279296875, 
201912162210:2307.7296447753906, 201912162215:2312.11669921875, 201912162220:2316.5037231445312, 201912162225:2320.8907775878906, 201912162230:2325.277801513672, 201912162235:2329.664825439453, 201912162240:2334.0518798828125, 201912162245:2338.4389038085938, 201912162250:2342.825927734375, 201912162255:2347.2129821777344, 201912162300:2373.4605712890625, 201912162305:2377.8475952148438, 
201912162215:2301.775421142578, 201912162220:2304.9566345214844, 201912162225:2308.1378479003906, 201912162230:2311.319061279297, 201912162235:2314.500274658203, 201912162240:2317.6814880371094, 201912162245:2320.8627014160156, 201912162250:2324.043914794922, 201912162255:2327.225128173828, 201912162300:2365.2722778320312, 201912162305:2368.4534912109375, 201912162310:2371.6347045898438, 
201912162220:2308.2108764648438, 201912162225:2312.9883728027344, 201912162230:2317.765869140625, 201912162235:2322.5433349609375, 201912162240:2327.320831298828, 201912162245:2332.0983276367188, 201912162250:2336.8758239746094, 201912162255:2341.653289794922, 201912162300:2363.047149658203, 201912162305:2367.8246459960938, 201912162310:2372.6021118164062, 201912162315:2377.379608154297, 
201912162225:2303.1807250976562, 201912162230:2307.1077575683594, 201912162235:2311.0347595214844, 201912162240:2314.9617919921875, 201912162245:2318.8888244628906, 201912162250:2322.8158264160156, 201912162255:2326.7428588867188, 201912162300:2355.8550415039062, 201912162305:2359.7820434570312, 201912162310:2363.7090759277344, 201912162315:2367.6360778808594, 201912162320:2371.5631103515625, 
201912162230:2320.6901245117188, 201912162235:2324.2759704589844, 201912162240:2327.861846923828, 201912162245:2331.447723388672, 201912162250:2335.0335693359375, 201912162255:2338.6194458007812, 201912162300:2372.2783813476562, 201912162305:2375.8642578125, 201912162310:2379.4501342773438, 201912162315:2383.0359802246094, 201912162320:2386.621856689453, 201912162325:2390.207733154297, 
201912162235:2317.1605529785156, 201912162240:2320.678466796875, 201912162245:2324.1964111328125, 201912162250:2327.71435546875, 201912162255:2331.2322998046875, 201912162300:2365.6566162109375, 201912162305:2369.174560546875, 201912162310:2372.6924743652344, 201912162315:2376.210418701172, 201912162320:2379.7283630371094, 201912162325:2383.246307373047, 201912162330:2386.7642517089844, 
201912162240:2326.7406616210938, 201912162245:2330.299530029297, 201912162250:2333.858428955078, 201912162255:2337.4172973632812, 201912162300:2371.4699096679688, 201912162305:2375.02880859375, 201912162310:2378.587677001953, 201912162315:2382.1465759277344, 201912162320:2385.7054748535156, 201912162325:2389.2643432617188, 201912162330:2392.8232421875, 201912162335:2396.382110595703, 
201912170905:1347.1373596191406, 201912170910:1351.2801513671875, 201912170915:1355.4229736328125, 201912170920:1359.5657653808594, 201912170925:1363.7085571289062, 201912170930:1367.8513793945312, 201912170935:1371.9941711425781, 201912170940:1376.136962890625, 201912170945:1380.27978515625, 201912170950:1384.4225769042969, 201912170955:1388.5653991699219, 201912171000:1415.0444946289062, 
201912170910:1349.2007446289062, 201912170915:1351.7256469726562, 201912170920:1354.2505493164062, 201912170925:1356.7754516601562, 201912170930:1359.3003540039062, 201912170935:1361.8252563476562, 201912170940:1364.3501586914062, 201912170945:1366.8750762939453, 201912170950:1369.3999786376953, 201912170955:1371.9248809814453, 201912171000:1415.8712463378906, 201912171005:1418.3961486816406, 
201912170915:1345.4873352050781, 201912170920:1350.2806701660156, 201912170925:1355.0740356445312, 201912170930:1359.8674011230469, 201912170935:1364.6607666015625, 201912170940:1369.4541015625, 201912170945:1374.2474670410156, 201912170950:1379.0408325195312, 201912170955:1383.8341979980469, 201912171000:1403.9528198242188, 201912171005:1408.7461853027344, 201912171010:1413.5395202636719, 
201912170920:1360.2579345703125, 201912170925:1363.1096496582031, 201912170930:1365.9613647460938, 201912170935:1368.8130798339844, 201912170940:1371.664810180664, 201912170945:1374.5165252685547, 201912170950:1377.3682403564453, 201912170955:1380.219955444336, 201912171000:1420.973129272461, 201912171005:1423.8248443603516, 201912171010:1426.6765594482422, 201912171015:1429.5282897949219, 
201912170925:1366.9163513183594, 201912170930:1369.8671264648438, 201912170935:1372.8179168701172, 201912170940:1375.7687072753906, 201912170945:1378.719497680664, 201912170950:1381.6702880859375, 201912170955:1384.621078491211, 201912171000:1423.9102783203125, 201912171005:1426.861068725586, 201912171010:1429.8118438720703, 201912171015:1432.7626342773438, 201912171020:1435.7134246826172, 
201912170930:1370.105712890625, 201912170935:1374.02197265625, 201912170940:1377.9382629394531, 201912170945:1381.8545532226562, 201912170950:1385.7708129882812, 201912170955:1389.6871032714844, 201912171000:1418.8812561035156, 201912171005:1422.7975463867188, 201912171010:1426.7138366699219, 201912171015:1430.6300964355469, 201912171020:1434.54638671875, 201912171025:1438.4626770019531, 
201912170935:1357.2005920410156, 201912170940:1360.9465942382812, 201912170945:1364.6925964355469, 201912170950:1368.4385986328125, 201912170955:1372.1846313476562, 201912171000:1403.6747741699219, 201912171005:1407.4207763671875, 201912171010:1411.1668090820312, 201912171015:1414.9128112792969, 201912171020:1418.6588134765625, 201912171025:1422.4048156738281, 201912171030:1426.1508178710938, 
201912170940:1376.1096954345703, 201912170945:1378.7350158691406, 201912170950:1381.3603210449219, 201912170955:1383.9856414794922, 201912171000:1426.9624633789062, 201912171005:1429.5877838134766, 201912171010:1432.2131042480469, 201912171015:1434.8384094238281, 201912171020:1437.4637298583984, 201912171025:1440.0890502929688, 201912171030:1442.71435546875, 201912171035:1445.3396759033203, 
201912170945:1366.0567321777344, 201912170950:1369.4038696289062, 201912170955:1372.7510223388672, 201912171000:1407.286605834961, 201912171005:1410.6337432861328, 201912171010:1413.9808959960938, 201912171015:1417.3280334472656, 201912171020:1420.6751861572266, 201912171025:1424.0223236083984, 201912171030:1427.3694610595703, 201912171035:1430.7166137695312, 201912171040:1434.0637512207031, 
201912170950:1369.7214965820312, 201912170955:1373.087646484375, 201912171000:1409.2235870361328, 201912171005:1412.5897369384766, 201912171010:1415.9558868408203, 201912171015:1419.322021484375, 201912171020:1422.6881713867188, 201912171025:1426.0543212890625, 201912171030:1429.4204559326172, 201912171035:1432.786605834961, 201912171040:1436.1527557373047, 201912171045:1439.5188903808594, 
201912170955:1377.434066772461, 201912171000:1424.5137634277344, 201912171005:1426.7923431396484, 201912171010:1429.0709381103516, 201912171015:1431.3495178222656, 201912171020:1433.6281127929688, 201912171025:1435.9066925048828, 201912171030:1438.185287475586, 201912171035:1440.4638671875, 201912171040:1442.7424621582031, 201912171045:1445.0210418701172, 201912171050:1447.2996368408203, 
201912171000:1410.7881774902344, 201912171005:1414.796875, 201912171010:1418.8055725097656, 201912171015:1422.8143005371094, 201912171020:1426.822998046875, 201912171025:1430.8317260742188, 201912171030:1434.8404235839844, 201912171035:1438.84912109375, 201912171040:1442.8578491210938, 201912171045:1446.8665466308594, 201912171050:1450.875244140625, 201912171055:1454.8839721679688, 
201912171005:1411.6170349121094, 201912171010:1415.3435363769531, 201912171015:1419.0700378417969, 201912171020:1422.7965393066406, 201912171025:1426.5230102539062, 201912171030:1430.24951171875, 201912171035:1433.9760131835938, 201912171040:1437.7025146484375, 201912171045:1441.4290161132812, 201912171050:1445.155517578125, 201912171055:1448.8820190429688, 201912171100:1480.6103515625, 
201912171010:1417.2169189453125, 201912171015:1421.7365112304688, 201912171020:1426.256103515625, 201912171025:1430.7756958007812, 201912171030:1435.2952880859375, 201912171035:1439.8148803710938, 201912171040:1444.33447265625, 201912171045:1448.8540649414062, 201912171050:1453.3736572265625, 201912171055:1457.8932495117188, 201912171100:1479.7477111816406, 201912171105:1484.2673034667969, 
201912171015:1420.0139465332031, 201912171020:1423.6926879882812, 201912171025:1427.3714599609375, 201912171030:1431.0502319335938, 201912171035:1434.7289733886719, 201912171040:1438.4077453613281, 201912171045:1442.0865173339844, 201912171050:1445.7652587890625, 201912171055:1449.4440307617188, 201912171100:1482.0924377441406, 201912171105:1485.7712097167969, 201912171110:1489.449951171875, 
201912171020:1430.565673828125, 201912171025:1432.844223022461, 201912171030:1435.1227722167969, 201912171035:1437.4013061523438, 201912171040:1439.6798553466797, 201912171045:1441.9584045410156, 201912171050:1444.2369537353516, 201912171055:1446.5155029296875, 201912171100:1493.0991821289062, 201912171105:1495.3777313232422, 201912171110:1497.6562805175781, 201912171115:1499.934814453125, 
201912171025:1420.5702819824219, 201912171030:1424.1574401855469, 201912171035:1427.7445983886719, 201912171040:1431.3317565917969, 201912171045:1434.9189147949219, 201912171050:1438.5060729980469, 201912171055:1442.0932312011719, 201912171100:1475.0374450683594, 201912171105:1478.6246032714844, 201912171110:1482.2117614746094, 201912171115:1485.7989196777344, 201912171120:1489.3860778808594, 
201912171030:1436.3976440429688, 201912171035:1440.435302734375, 201912171040:1444.4729614257812, 201912171045:1448.5105895996094, 201912171050:1452.5482482910156, 201912171055:1456.5859069824219, 201912171100:1485.6673278808594, 201912171105:1489.7049865722656, 201912171110:1493.7426452636719, 201912171115:1497.7802734375, 201912171120:1501.8179321289062, 201912171125:1505.8555908203125, 
201912171035:1433.0170288085938, 201912171040:1437.948974609375, 201912171045:1442.8809204101562, 201912171050:1447.8128356933594, 201912171055:1452.7447814941406, 201912171100:1472.4903564453125, 201912171105:1477.4222717285156, 201912171110:1482.3542175292969, 201912171115:1487.2861633300781, 201912171120:1492.2180786132812, 201912171125:1497.1500244140625, 201912171130:1502.0819702148438, 
201912171040:1428.7266235351562, 201912171045:1431.5668487548828, 201912171050:1434.4070739746094, 201912171055:1437.2472839355469, 201912171100:1478.5989532470703, 201912171105:1481.4391632080078, 201912171110:1484.2793884277344, 201912171115:1487.119613647461, 201912171120:1489.9598236083984, 201912171125:1492.800048828125, 201912171130:1495.6402740478516, 201912171135:1498.480484008789, 
201912171045:1442.0602264404297, 201912171050:1445.2929077148438, 201912171055:1448.5255889892578, 201912171100:1486.379623413086, 201912171105:1489.612289428711, 201912171110:1492.844970703125, 201912171115:1496.077651977539, 201912171120:1499.310317993164, 201912171125:1502.5429992675781, 201912171130:1505.7756805419922, 201912171135:1509.0083465576172, 201912171140:1512.2410278320312, 
201912171050:1435.5463256835938, 201912171055:1440.0840148925781, 201912171100:1463.8431396484375, 201912171105:1468.380859375, 201912171110:1472.9185485839844, 201912171115:1477.4562377929688, 201912171120:1481.9939575195312, 201912171125:1486.5316467285156, 201912171130:1491.0693359375, 201912171135:1495.6070556640625, 201912171140:1500.1447448730469, 201912171145:1504.6824340820312, 
201912171055:1429.1798553466797, 201912171100:1474.0379638671875, 201912171105:1476.6109619140625, 201912171110:1479.1839599609375, 201912171115:1481.7569580078125, 201912171120:1484.3299560546875, 201912171125:1486.9029388427734, 201912171130:1489.4759368896484, 201912171135:1492.0489349365234, 201912171140:1494.6219329833984, 201912171145:1497.1949310302734, 201912171150:1499.7679290771484, 
201912171100:1472.8913269042969, 201912171105:1476.5463256835938, 201912171110:1480.2013549804688, 201912171115:1483.8563842773438, 201912171120:1487.5113830566406, 201912171125:1491.1664123535156, 201912171130:1494.8214111328125, 201912171135:1498.4764404296875, 201912171140:1502.1314392089844, 201912171145:1505.7864685058594, 201912171150:1509.4414672851562, 201912171155:1513.0964965820312, 
201912171105:1479.8898010253906, 201912171110:1483.5649719238281, 201912171115:1487.2401428222656, 201912171120:1490.915283203125, 201912171125:1494.5904541015625, 201912171130:1498.265625, 201912171135:1501.9407958984375, 201912171140:1505.6159362792969, 201912171145:1509.2911071777344, 201912171150:1512.9662780761719, 201912171155:1516.6414489746094, 201912171200:1550.6274719238281, 
201912171110:1494.508056640625, 201912171115:1498.5159301757812, 201912171120:1502.5238037109375, 201912171125:1506.5316772460938, 201912171130:1510.53955078125, 201912171135:1514.5474243164062, 201912171140:1518.5552978515625, 201912171145:1522.5631713867188, 201912171150:1526.571044921875, 201912171155:1530.5789184570312, 201912171200:1559.5557250976562, 201912171205:1563.5635986328125, 
